x1,x2,x3
100,125,103
102,126,104
103,126,103
101,126,104
104,128,106
104,128,106
104,128,107
106,130,108
105,128,106
118,125,108
119,126,108
119,125,108
118,124,108
118,124,107
115,120,104
122,128,111
122,129,112
120,126,110
84,106,97
82,103,94
85,106,96
81,104,94
80,102,92
82,103,93
77,101,92
77,100,91
78,100,90
132,136,118
132,137,118
132,138,118
133,136,118
133,138,118
133,139,119
135,137,118
134,138,118
134,139,119
124,132,115
125,133,116
126,134,117
123,132,114
123,131,114
125,132,116
124,133,116
126,134,118
126,134,118
118,126,110
118,127,108
122,130,112
114,122,106
114,122,104
119,126,109
112,120,105
111,119,102
114,122,105
124,130,110
127,133,112
130,136,114
126,132,112
127,133,112
128,134,113
127,133,113
127,133,112
127,133,112
144,142,118
144,142,118
144,142,118
147,143,117
146,142,116
144,142,116
146,142,117
147,144,118
148,146,120
124,137,120
121,134,116
118,130,112
125,137,119
122,134,116
119,131,112
124,136,117
122,134,116
121,133,114
92,121,101
95,124,104
98,128,106
91,121,101
94,124,104
98,128,107
92,122,102
94,124,104
96,126,105
108,120,108
108,121,107
107,122,106
106,119,106
109,123,108
110,125,108
108,122,107
108,123,106
110,126,107
100,116,104
102,119,106
104,122,108
106,123,111
104,122,110
102,121,108
102,119,106
102,119,106
101,119,106
120,124,113
122,127,114
122,128,114
118,122,112
123,127,117
123,128,116
118,122,111
124,128,116
124,128,116
104,115,100
105,117,101
101,114,98
109,120,104
110,122,106
107,120,104
114,126,108
116,128,110
114,126,108
111,125,108
116,128,112
120,132,115
112,124,108
115,126,110
118,128,112
112,123,108
114,124,108
115,125,109
178,176,155
180,178,156
182,179,157
178,176,154
179,177,155
180,178,156
178,175,154
178,176,154
179,176,155
182,182,164
182,182,165
182,181,165
182,182,166
182,182,166
182,180,165
183,181,166
183,181,166
182,180,164
184,184,167
182,182,166
181,181,165
182,182,165
183,183,167
182,183,166
182,184,166
184,186,168
184,185,167
206,205,188
200,200,182
194,196,176
208,207,191
201,201,184
194,195,177
207,207,190
202,202,184
196,198,179
214,218,194
215,218,194
216,217,193
213,217,193
216,220,195
219,222,197
205,209,186
213,217,193
221,225,200
202,207,196
200,204,193
200,205,194
203,208,197
200,205,194
200,206,194
201,206,195
200,205,194
200,206,194
209,211,188
209,210,188
209,210,189
208,210,192
208,210,192
209,210,192
207,210,190
206,209,189
206,208,188
191,192,176
188,187,174
184,184,170
190,191,176
188,187,174
185,184,171
190,191,176
193,193,179
188,188,174
183,184,166
187,188,171
191,192,176
182,184,168
185,188,172
188,191,175
181,184,170
183,187,172
185,190,174
196,196,184
195,196,182
194,196,180
198,199,186
196,198,184
195,197,181
198,200,186
197,199,184
196,198,182
148,146,136
147,145,134
146,144,132
152,152,142
145,145,134
144,144,133
164,161,149
159,156,144
156,153,140
160,156,141
148,144,130
136,132,120
158,155,141
146,143,130
134,131,118
164,162,148
150,148,135
137,134,122
149,146,136
150,147,136
160,157,146
150,146,138
152,148,138
164,160,150
162,158,146
157,153,141
162,159,147
168,166,149
169,168,152
172,170,155
162,160,144
167,165,149
172,170,154
168,165,148
172,169,152
174,171,156
172,168,154
172,168,154
168,165,150
174,170,156
176,171,157
176,170,156
174,168,155
175,169,156
176,168,155
134,122,116
132,118,112
129,115,107
131,118,112
136,122,115
128,114,106
129,115,110
139,125,119
128,113,106
106,112,116
98,105,108
88,96,99
111,116,118
108,114,116
97,104,106
110,116,118
105,112,114
96,104,106
172,148,128
174,148,130
177,149,132
179,149,129
180,148,130
181,147,131
180,150,132
180,148,132
180,146,132
150,152,142
141,143,136
132,134,129
151,154,146
142,145,139
134,136,132
150,154,147
144,148,142
138,141,138
172,178,171
166,172,166
160,167,162
171,177,170
174,180,174
177,184,179
170,176,170
179,186,180
188,195,190
160,166,160
157,163,158
154,160,157
165,169,162
164,168,163
162,167,164
158,162,156
161,166,160
164,169,164
163,162,153
160,159,150
158,156,146
157,156,151
155,154,147
153,153,143
162,160,158
153,152,146
144,143,134
148,144,134
145,142,134
140,136,131
154,151,139
155,151,142
150,145,140
153,148,134
156,150,140
150,144,138
154,157,152
155,156,151
156,156,150
151,155,150
154,156,152
157,158,153
156,160,155
156,159,154
156,158,153
162,154,140
161,154,141
160,153,142
163,156,140
